epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,341.074,2.78944,0.66673,0.89422,1.23116,0.00999789,0.00333263,0.00999789,0.00333263,0.00999789,0.00333263,0.00999789,0.00333263
2,693.141,1.90115,0.6998,0.90642,1.12013,0.019008,0.006336,0.019008,0.006336,0.019008,0.006336,0.019008,0.006336
3,896.775,2.06355,0.6779,0.89533,1.20215,0.0270281,0.00900937,0.0270281,0.00900937,0.0270281,0.00900937,0.0270281,0.00900937
4,1211.15,2.14233,0.70776,0.9099,1.08968,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,1544.04,1.94628,0.74162,0.92749,0.95671,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,1870.41,1.78309,0.76036,0.93592,0.86394,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,2062.99,1.66653,0.77901,0.94253,0.80755,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,2259.67,1.56078,0.78931,0.948,0.76305,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,4314.78,1.48337,0.7983,0.95168,0.73318,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,4515,1.39515,0.80436,0.95279,0.70987,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,4764.92,1.31975,0.81002,0.95473,0.69376,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,4964.05,1.25222,0.81457,0.95604,0.67825,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,5163.18,1.20027,0.81541,0.95707,0.66817,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,5363.61,1.12259,0.81798,0.95838,0.65787,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,5563.19,1.05115,0.82004,0.95913,0.6494,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,5762.69,0.99021,0.82253,0.96008,0.64759,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,5961.51,0.92476,0.82523,0.96071,0.63529,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,6159.86,0.85892,0.82701,0.96158,0.63069,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,6358.34,0.78965,0.82931,0.96206,0.6243,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,6557.67,0.73387,0.83149,0.96265,0.61644,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
